시도,시군구,시간대,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,00시-02시,76,1,114,23,83,8
서울,종로구,02시-04시,40,0,60,11,45,4
서울,종로구,04시-06시,43,0,58,13,37,8
서울,종로구,06시-08시,64,2,93,20,65,8
서울,종로구,08시-10시,94,0,132,29,71,32
서울,종로구,10시-12시,108,0,136,30,92,14
서울,종로구,12시-14시,111,1,137,30,92,15
서울,종로구,14시-16시,118,0,168,28,115,25
서울,종로구,16시-18시,105,0,138,28,91,19
서울,종로구,18시-20시,131,0,162,36,107,19
서울,종로구,20시-22시,115,1,167,34,121,12
서울,종로구,22시-24시,129,1,181,38,120,23
서울,중구,00시-02시,64,0,98,29,58,11
서울,중구,02시-04시,57,0,73,16,50,7
서울,중구,04시-06시,51,3,58,24,28,6
서울,중구,06시-08시,60,0,95,19,68,8
서울,중구,08시-10시,92,0,118,32,73,13
서울,중구,10시-12시,131,1,167,54,96,17
서울,중구,12시-14시,125,0,165,34,110,21
서울,중구,14시-16시,118,0,159,39,103,17
서울,중구,16시-18시,121,1,173,40,117,16
서울,중구,18시-20시,119,3,152,31,106,15
서울,중구,20시-22시,107,1,138,36,85,17
서울,중구,22시-24시,83,0,110,26,68,16
서울,용산구,00시-02시,93,3,142,37,101,4
서울,용산구,02시-04시,71,1,103,24,69,10
서울,용산구,04시-06시,65,2,92,25,58,9
서울,용산구,06시-08시,81,2,111,23,81,7
서울,용산구,08시-10시,123,2,149,33,110,6
서울,용산구,10시-12시,120,1,168,33,120,15
서울,용산구,12시-14시,114,0,166,39,119,8
서울,용산구,14시-16시,124,1,170,35,130,5
서울,용산구,16시-18시,134,0,193,35,149,9
서울,용산구,18시-20시,145,0,186,38,143,5
서울,용산구,20시-22시,142,2,198,38,145,15
서울,용산구,22시-24시,118,0,174,45,118,11
서울,성동구,00시-02시,71,0,97,25,67,5
서울,성동구,02시-04시,54,2,90,17,67,6
서울,성동구,04시-06시,57,1,99,26,65,8
서울,성동구,06시-08시,66,0,80,15,61,4
서울,성동구,08시-10시,109,1,134,26,98,10
서울,성동구,10시-12시,103,1,147,29,111,7
서울,성동구,12시-14시,96,0,132,17,103,12
서울,성동구,14시-16시,119,0,153,34,111,8
서울,성동구,16시-18시,122,2,144,35,99,10
서울,성동구,18시-20시,129,1,183,41,123,19
서울,성동구,20시-22시,112,1,147,26,110,11
서울,성동구,22시-24시,105,0,155,35,111,9
서울,동대문구,00시-02시,70,1,103,34,63,6
서울,동대문구,02시-04시,46,2,59,18,34,7
서울,동대문구,04시-06시,58,2,76,23,47,6
서울,동대문구,06시-08시,102,2,118,34,70,14
서울,동대문구,08시-10시,170,0,222,56,150,16
서울,동대문구,10시-12시,160,0,215,61,135,19
서울,동대문구,12시-14시,183,2,211,59,143,9
서울,동대문구,14시-16시,195,1,248,59,170,19
서울,동대문구,16시-18시,212,2,260,66,177,17
서울,동대문구,18시-20시,196,0,233,60,154,19
서울,동대문구,20시-22시,170,1,212,63,138,11
서울,동대문구,22시-24시,137,1,203,64,127,12
서울,성북구,00시-02시,97,1,164,31,124,9
서울,성북구,02시-04시,70,1,124,21,99,4
서울,성북구,04시-06시,53,2,71,20,49,2
서울,성북구,06시-08시,64,0,94,27,64,3
서울,성북구,08시-10시,144,1,195,45,138,12
서울,성북구,10시-12시,110,1,145,33,102,10
서울,성북구,12시-14시,149,1,196,45,140,11
서울,성북구,14시-16시,148,2,201,41,144,16
서울,성북구,16시-18시,156,1,205,52,139,14
서울,성북구,18시-20시,189,0,253,48,184,21
서울,성북구,20시-22시,116,2,150,37,100,13
서울,성북구,22시-24시,131,2,182,42,128,12
서울,도봉구,00시-02시,30,0,48,9,32,7
서울,도봉구,02시-04시,30,0,48,13,33,2
서울,도봉구,04시-06시,25,0,41,8,27,6
서울,도봉구,06시-08시,42,0,56,15,36,5
서울,도봉구,08시-10시,84,0,117,29,77,11
서울,도봉구,10시-12시,69,0,94,28,52,14
서울,도봉구,12시-14시,71,0,79,22,48,9
서울,도봉구,14시-16시,90,1,102,35,58,9
서울,도봉구,16시-18시,120,2,156,41,100,15
서울,도봉구,18시-20시,125,3,144,42,84,18
서울,도봉구,20시-22시,72,0,87,17,56,14
서울,도봉구,22시-24시,66,0,89,22,56,11
서울,은평구,00시-02시,86,2,129,23,96,10
서울,은평구,02시-04시,53,2,76,24,48,4
서울,은평구,04시-06시,32,0,42,8,31,3
서울,은평구,06시-08시,78,0,110,26,76,8
서울,은평구,08시-10시,108,1,159,38,97,24
서울,은평구,10시-12시,106,2,140,32,94,14
서울,은평구,12시-14시,107,2,140,34,93,13
서울,은평구,14시-16시,121,1,164,38,111,15
서울,은평구,16시-18시,125,0,168,38,116,14
서울,은평구,18시-20시,125,1,177,36,122,19
서울,은평구,20시-22시,103,0,151,45,92,14
서울,은평구,22시-24시,90,1,124,25,88,11
서울,서대문구,00시-02시,71,1,104,25,65,14
서울,서대문구,02시-04시,45,0,65,11,51,3
서울,서대문구,04시-06시,33,0,41,16,22,3
서울,서대문구,06시-08시,55,1,86,25,57,4
서울,서대문구,08시-10시,104,0,133,26,84,23
서울,서대문구,10시-12시,97,0,129,25,86,18
서울,서대문구,12시-14시,93,0,139,35,89,15
서울,서대문구,14시-16시,102,0,136,31,92,13
서울,서대문구,16시-18시,122,0,152,34,96,22
서울,서대문구,18시-20시,123,0,149,43,85,21
서울,서대문구,20시-22시,102,1,148,28,90,30
서울,서대문구,22시-24시,86,2,121,27,73,21
서울,마포구,00시-02시,154,1,246,43,189,14
서울,마포구,02시-04시,97,3,148,37,104,7
서울,마포구,04시-06시,83,1,131,34,91,6
서울,마포구,06시-08시,92,1,119,27,79,13
서울,마포구,08시-10시,127,1,184,36,135,13
서울,마포구,10시-12시,123,2,175,30,135,10
서울,마포구,12시-14시,157,0,235,52,165,18
서울,마포구,14시-16시,150,0,210,36,162,12
서울,마포구,16시-18시,141,1,185,27,130,28
서울,마포구,18시-20시,215,0,317,63,237,17
서울,마포구,20시-22시,170,1,231,43,176,12
서울,마포구,22시-24시,162,0,248,31,200,17
서울,강서구,00시-02시,95,1,153,32,111,10
서울,강서구,02시-04시,67,2,108,23,77,8
서울,강서구,04시-06시,82,1,132,29,96,7
서울,강서구,06시-08시,96,1,134,31,97,6
서울,강서구,08시-10시,145,0,199,46,138,15
서울,강서구,10시-12시,119,0,163,33,116,14
서울,강서구,12시-14시,130,0,184,39,130,15
서울,강서구,14시-16시,132,0,179,39,128,12
서울,강서구,16시-18시,176,2,244,60,168,16
서울,강서구,18시-20시,165,2,243,49,169,25
서울,강서구,20시-22시,171,0,282,67,192,23
서울,강서구,22시-24시,124,2,187,41,124,22
서울,구로구,00시-02시,99,0,170,32,135,3
서울,구로구,02시-04시,53,0,67,9,52,6
서울,구로구,04시-06시,71,1,99,31,59,9
서울,구로구,06시-08시,90,2,111,21,87,3
서울,구로구,08시-10시,132,0,178,30,133,15
서울,구로구,10시-12시,124,1,175,40,122,13
서울,구로구,12시-14시,133,0,188,50,120,18
서울,구로구,14시-16시,169,2,228,46,162,20
서울,구로구,16시-18시,189,0,253,51,184,18
서울,구로구,18시-20시,180,0,223,57,154,12
서울,구로구,20시-22시,159,5,237,48,173,16
서울,구로구,22시-24시,133,2,200,37,155,8
서울,영등포구,00시-02시,163,3,278,57,200,21
서울,영등포구,02시-04시,101,1,159,35,110,14
서울,영등포구,04시-06시,97,1,142,29,104,9
서울,영등포구,06시-08시,134,3,183,40,133,10
서울,영등포구,08시-10시,260,4,343,52,260,31
서울,영등포구,10시-12시,213,1,270,51,193,26
서울,영등포구,12시-14시,212,0,302,53,231,18
서울,영등포구,14시-16시,229,2,305,40,232,33
서울,영등포구,16시-18시,270,0,376,57,282,37
서울,영등포구,18시-20시,322,2,430,67,332,31
서울,영등포구,20시-22시,237,1,365,74,245,46
서울,영등포구,22시-24시,255,4,379,65,274,40
서울,동작구,00시-02시,90,0,140,27,99,14
서울,동작구,02시-04시,55,0,93,16,66,11
서울,동작구,04시-06시,55,2,74,19,45,10
서울,동작구,06시-08시,75,0,99,22,66,11
서울,동작구,08시-10시,166,1,208,37,151,20
서울,동작구,10시-12시,110,0,151,38,101,12
서울,동작구,12시-14시,127,1,164,36,110,18
서울,동작구,14시-16시,131,2,186,50,112,24
서울,동작구,16시-18시,135,2,169,39,103,27
서울,동작구,18시-20시,188,0,229,54,138,37
서울,동작구,20시-22시,147,0,194,37,127,30
서울,동작구,22시-24시,133,1,185,42,124,19
서울,관악구,00시-02시,113,2,158,25,117,16
서울,관악구,02시-04시,78,0,120,21,87,12
서울,관악구,04시-06시,56,1,81,20,53,8
서울,관악구,06시-08시,76,0,103,21,73,9
서울,관악구,08시-10시,109,0,139,28,105,6
서울,관악구,10시-12시,117,1,139,30,99,10
서울,관악구,12시-14시,104,0,120,28,81,11
서울,관악구,14시-16시,122,0,156,32,113,11
서울,관악구,16시-18시,134,0,178,38,122,18
서울,관악구,18시-20시,141,1,168,40,112,16
서울,관악구,20시-22시,129,2,167,35,122,10
서울,관악구,22시-24시,121,1,188,23,145,20
서울,강남구,00시-02시,299,3,463,92,347,24
서울,강남구,02시-04시,213,2,335,68,240,27
서울,강남구,04시-06시,164,5,229,51,165,13
서울,강남구,06시-08시,169,3,234,47,166,21
서울,강남구,08시-10시,296,2,405,70,306,29
서울,강남구,10시-12시,317,0,434,81,321,32
서울,강남구,12시-14시,337,2,480,93,341,46
서울,강남구,14시-16시,344,0,479,84,360,35
서울,강남구,16시-18시,317,1,426,67,319,40
서울,강남구,18시-20시,389,0,538,92,389,57
서울,강남구,20시-22시,295,0,421,81,310,30
서울,강남구,22시-24시,319,2,523,99,384,40
서울,강동구,00시-02시,70,0,99,27,62,10
서울,강동구,02시-04시,57,0,87,19,59,9
서울,강동구,04시-06시,51,2,70,22,44,4
서울,강동구,06시-08시,81,1,119,16,88,15
서울,강동구,08시-10시,134,2,188,36,135,17
서울,강동구,10시-12시,136,1,193,36,143,14
서울,강동구,12시-14시,130,2,165,46,100,19
서울,강동구,14시-16시,142,0,194,47,114,33
서울,강동구,16시-18시,175,0,215,43,144,28
서울,강동구,18시-20시,181,2,230,57,150,23
서울,강동구,20시-22시,123,1,166,45,94,27
서울,강동구,22시-24시,138,1,196,56,127,13
서울,송파구,00시-02시,170,1,248,52,169,27
서울,송파구,02시-04시,111,4,161,41,100,20
서울,송파구,04시-06시,95,1,145,45,80,20
서울,송파구,06시-08시,166,6,245,50,164,31
서울,송파구,08시-10시,261,1,346,64,239,43
서울,송파구,10시-12시,245,2,331,47,237,47
서울,송파구,12시-14시,258,2,337,63,226,48
서울,송파구,14시-16시,329,0,461,104,298,59
서울,송파구,16시-18시,321,5,437,74,312,51
서울,송파구,18시-20시,356,0,460,97,309,54
서울,송파구,20시-22시,297,2,389,71,281,37
서울,송파구,22시-24시,251,3,372,70,266,36
서울,서초구,00시-02시,131,1,197,47,132,18
서울,서초구,02시-04시,98,1,156,32,110,14
서울,서초구,04시-06시,106,4,163,32,119,12
서울,서초구,06시-08시,142,2,208,45,149,14
서울,서초구,08시-10시,240,0,336,56,264,16
서울,서초구,10시-12시,262,2,388,72,279,37
서울,서초구,12시-14시,251,1,397,79,265,53
서울,서초구,14시-16시,226,0,325,40,265,20
서울,서초구,16시-18시,279,0,385,68,272,45
서울,서초구,18시-20시,289,2,430,92,299,39
서울,서초구,20시-22시,216,1,310,59,221,30
서울,서초구,22시-24시,238,4,345,71,250,24
서울,양천구,00시-02시,86,3,136,28,93,15
서울,양천구,02시-04시,45,1,67,8,53,6
서울,양천구,04시-06시,60,4,89,32,50,7
서울,양천구,06시-08시,102,0,137,26,104,7
서울,양천구,08시-10시,128,1,152,27,116,9
서울,양천구,10시-12시,125,0,163,27,122,14
서울,양천구,12시-14시,127,0,166,27,125,14
서울,양천구,14시-16시,142,1,181,33,130,18
서울,양천구,16시-18시,165,0,212,31,162,19
서울,양천구,18시-20시,176,0,247,46,178,23
서울,양천구,20시-22시,141,0,191,42,137,12
서울,양천구,22시-24시,131,1,198,49,138,11
서울,중랑구,00시-02시,86,1,132,32,86,14
서울,중랑구,02시-04시,39,0,48,14,31,3
서울,중랑구,04시-06시,75,1,116,40,69,7
서울,중랑구,06시-08시,73,1,109,18,78,13
서울,중랑구,08시-10시,135,0,185,36,138,11
서울,중랑구,10시-12시,128,1,163,44,106,13
서울,중랑구,12시-14시,148,1,216,53,143,20
서울,중랑구,14시-16시,162,1,194,45,128,21
서울,중랑구,16시-18시,204,0,253,60,166,27
서울,중랑구,18시-20시,217,2,296,62,204,30
서울,중랑구,20시-22시,169,2,238,57,162,19
서울,중랑구,22시-24시,129,0,185,37,133,15
서울,노원구,00시-02시,106,2,174,34,129,11
서울,노원구,02시-04시,55,3,92,9,75,8
서울,노원구,04시-06시,75,2,103,25,68,10
서울,노원구,06시-08시,91,0,118,28,80,10
서울,노원구,08시-10시,141,1,193,37,141,15
서울,노원구,10시-12시,139,2,198,49,134,15
서울,노원구,12시-14시,154,1,201,37,142,22
서울,노원구,14시-16시,150,1,225,35,173,17
서울,노원구,16시-18시,192,1,251,38,192,21
서울,노원구,18시-20시,181,0,241,49,169,23
서울,노원구,20시-22시,166,1,251,40,196,15
서울,노원구,22시-24시,119,0,180,34,133,13
서울,광진구,00시-02시,104,1,151,41,105,5
서울,광진구,02시-04시,51,0,83,17,64,2
서울,광진구,04시-06시,34,1,40,8,30,2
서울,광진구,06시-08시,64,2,97,19,66,12
서울,광진구,08시-10시,107,1,121,24,91,6
서울,광진구,10시-12시,89,0,130,25,99,6
서울,광진구,12시-14시,104,2,126,36,85,5
서울,광진구,14시-16시,98,0,126,36,83,7
서울,광진구,16시-18시,107,3,137,33,92,12
서울,광진구,18시-20시,103,0,129,27,95,7
서울,광진구,20시-22시,124,0,163,38,114,11
서울,광진구,22시-24시,123,0,171,39,122,10
서울,강북구,00시-02시,80,2,103,23,75,5
서울,강북구,02시-04시,74,0,103,20,77,6
서울,강북구,04시-06시,61,3,96,23,71,2
서울,강북구,06시-08시,64,4,82,19,60,3
서울,강북구,08시-10시,99,0,128,31,92,5
서울,강북구,10시-12시,113,1,130,39,82,9
서울,강북구,12시-14시,107,0,147,31,113,3
서울,강북구,14시-16시,115,0,136,38,92,6
서울,강북구,16시-18시,134,0,165,42,118,5
서울,강북구,18시-20시,142,0,196,43,148,5
서울,강북구,20시-22시,118,3,204,42,154,8
서울,강북구,22시-24시,109,0,143,30,105,8
서울,금천구,00시-02시,70,0,96,22,67,7
서울,금천구,02시-04시,41,2,70,11,57,2
서울,금천구,04시-06시,39,0,58,15,41,2
서울,금천구,06시-08시,62,0,89,24,59,6
서울,금천구,08시-10시,78,0,105,23,78,4
서울,금천구,10시-12시,74,0,92,25,65,2
서울,금천구,12시-14시,62,0,89,15,70,4
서울,금천구,14시-16시,78,2,98,20,68,10
서울,금천구,16시-18시,106,0,194,47,133,14
서울,금천구,18시-20시,128,1,173,25,127,21
서울,금천구,20시-22시,99,0,134,40,84,10
서울,금천구,22시-24시,95,1,128,34,91,3
부산,중구,00시-02시,21,0,39,9,30,0
부산,중구,02시-04시,12,2,18,2,14,2
부산,중구,04시-06시,7,0,8,3,4,1
부산,중구,06시-08시,17,0,17,7,7,3
부산,중구,08시-10시,37,0,42,14,27,1
부산,중구,10시-12시,32,0,40,14,23,3
부산,중구,12시-14시,47,0,59,21,34,4
부산,중구,14시-16시,51,0,68,16,48,4
부산,중구,16시-18시,52,1,72,21,44,7
부산,중구,18시-20시,51,0,69,10,51,8
부산,중구,20시-22시,36,0,50,14,34,2
부산,중구,22시-24시,30,0,41,16,20,5
부산,서구,00시-02시,19,0,28,8,19,1
부산,서구,02시-04시,12,0,17,4,12,1
부산,서구,04시-06시,10,0,14,3,8,3
부산,서구,06시-08시,23,1,33,14,15,4
부산,서구,08시-10시,60,2,74,15,55,4
부산,서구,10시-12시,43,0,69,9,54,6
부산,서구,12시-14시,47,2,57,16,40,1
부산,서구,14시-16시,53,0,74,12,56,6
부산,서구,16시-18시,62,1,95,18,75,2
부산,서구,18시-20시,54,0,67,17,47,3
부산,서구,20시-22시,39,0,49,14,29,6
부산,서구,22시-24시,30,0,50,11,36,3
부산,동구,00시-02시,20,3,28,5,21,2
부산,동구,02시-04시,17,0,22,13,5,4
부산,동구,04시-06시,12,0,18,4,11,3
부산,동구,06시-08시,35,0,46,13,31,2
부산,동구,08시-10시,64,0,83,22,57,4
부산,동구,10시-12시,64,0,85,25,56,4
부산,동구,12시-14시,60,0,84,24,52,8
부산,동구,14시-16시,71,0,112,33,77,2
부산,동구,16시-18시,59,0,75,17,52,6
부산,동구,18시-20시,83,0,108,23,77,8
부산,동구,20시-22시,59,0,81,18,55,8
부산,동구,22시-24시,43,0,70,18,47,5
부산,영도구,00시-02시,8,0,12,1,9,2
부산,영도구,02시-04시,8,0,10,3,6,1
부산,영도구,04시-06시,9,0,11,4,7,0
부산,영도구,06시-08시,17,1,20,7,13,0
부산,영도구,08시-10시,35,1,49,11,37,1
부산,영도구,10시-12시,35,0,52,21,30,1
부산,영도구,12시-14시,34,1,39,12,25,2
부산,영도구,14시-16시,41,1,57,20,33,4
부산,영도구,16시-18시,55,0,69,17,50,2
부산,영도구,18시-20시,42,0,48,17,26,5
부산,영도구,20시-22시,36,1,41,15,24,2
부산,영도구,22시-24시,12,0,15,7,7,1
부산,부산진구,00시-02시,103,2,154,48,94,12
부산,부산진구,02시-04시,81,3,123,28,88,7
부산,부산진구,04시-06시,92,2,130,49,77,4
부산,부산진구,06시-08시,75,1,96,29,57,10
부산,부산진구,08시-10시,130,0,174,59,100,15
부산,부산진구,10시-12시,111,0,140,49,79,12
부산,부산진구,12시-14시,146,0,184,58,106,20
부산,부산진구,14시-16시,182,2,214,69,121,24
부산,부산진구,16시-18시,203,3,280,93,157,30
부산,부산진구,18시-20시,201,2,278,70,183,25
부산,부산진구,20시-22시,172,1,218,60,139,19
부산,부산진구,22시-24시,129,2,188,46,123,19
부산,동래구,00시-02시,45,0,62,17,43,2
부산,동래구,02시-04시,25,1,37,10,25,2
부산,동래구,04시-06시,33,1,38,18,19,1
부산,동래구,06시-08시,46,0,50,17,31,2
부산,동래구,08시-10시,89,0,126,27,89,10
부산,동래구,10시-12시,92,0,122,33,81,8
부산,동래구,12시-14시,81,1,116,33,80,3
부산,동래구,14시-16시,95,1,127,22,97,8
부산,동래구,16시-18시,128,0,174,42,117,15
부산,동래구,18시-20시,138,2,198,56,128,14
부산,동래구,20시-22시,105,0,136,35,91,10
부산,동래구,22시-24시,75,0,117,39,73,5
부산,남구,00시-02시,40,0,54,17,31,6
부산,남구,02시-04시,27,0,39,15,20,4
부산,남구,04시-06시,29,3,32,13,18,1
부산,남구,06시-08시,43,0,57,24,33,0
부산,남구,08시-10시,72,2,94,30,50,14
부산,남구,10시-12시,73,0,89,21,61,7
부산,남구,12시-14시,85,1,114,28,74,12
부산,남구,14시-16시,97,2,125,34,71,20
부산,남구,16시-18시,81,0,103,23,71,9
부산,남구,18시-20시,115,0,149,44,94,11
부산,남구,20시-22시,77,1,103,24,69,10
부산,남구,22시-24시,58,0,79,28,43,8
부산,북구,00시-02시,26,0,42,5,33,4
부산,북구,02시-04시,25,0,41,9,32,0
부산,북구,04시-06시,20,1,38,17,20,1
부산,북구,06시-08시,36,1,42,18,24,0
부산,북구,08시-10시,52,1,77,17,56,4
부산,북구,10시-12시,77,0,100,41,52,7
부산,북구,12시-14시,70,0,85,27,53,5
부산,북구,14시-16시,64,0,82,20,57,5
부산,북구,16시-18시,94,1,124,38,79,7
부산,북구,18시-20시,92,0,107,26,76,5
부산,북구,20시-22시,71,2,99,28,57,14
부산,북구,22시-24시,61,0,97,17,75,5
부산,해운대구,00시-02시,55,0,97,19,68,10
부산,해운대구,02시-04시,33,1,55,19,33,3
부산,해운대구,04시-06시,28,3,41,10,25,6
부산,해운대구,06시-08시,41,2,43,16,26,1
부산,해운대구,08시-10시,94,0,120,24,79,17
부산,해운대구,10시-12시,99,1,138,37,91,10
부산,해운대구,12시-14시,96,1,138,31,98,9
부산,해운대구,14시-16시,123,0,198,44,125,29
부산,해운대구,16시-18시,122,1,170,55,103,12
부산,해운대구,18시-20시,140,1,195,52,133,10
부산,해운대구,20시-22시,105,0,144,38,96,10
부산,해운대구,22시-24시,82,2,113,26,74,13
부산,사하구,00시-02시,53,0,72,21,42,9
부산,사하구,02시-04시,32,0,46,16,22,8
부산,사하구,04시-06시,25,0,31,19,11,1
부산,사하구,06시-08시,82,0,113,28,78,7
부산,사하구,08시-10시,75,0,97,20,65,12
부산,사하구,10시-12시,89,0,126,35,81,10
부산,사하구,12시-14시,97,0,140,49,79,12
부산,사하구,14시-16시,103,0,133,32,94,7
부산,사하구,16시-18시,125,1,176,46,111,19
부산,사하구,18시-20시,137,1,200,58,129,13
부산,사하구,20시-22시,109,1,140,35,90,15
부산,사하구,22시-24시,76,0,104,31,69,4
부산,금정구,00시-02시,37,1,57,22,31,4
부산,금정구,02시-04시,19,1,29,10,15,4
부산,금정구,04시-06시,27,1,36,9,22,5
부산,금정구,06시-08시,39,1,52,18,29,5
부산,금정구,08시-10시,74,0,102,31,66,5
부산,금정구,10시-12시,74,0,117,37,73,7
부산,금정구,12시-14시,86,0,104,25,69,10
부산,금정구,14시-16시,100,0,132,42,76,14
부산,금정구,16시-18시,109,0,143,39,80,24
부산,금정구,18시-20시,109,1,139,40,90,9
